route_id,vehicle_id,swap,swap_cost_pln,overrun_cost_pln,total_cost_pln
65,48,True,1849.096,0.0,1513.562
64,162,True,1849.096,0.0,1535.5410000000002
63,147,False,0.0,0.0,0.0
45,151,True,1849.096,0.0,1616.7419999999997
46,156,False,0.0,0.0,0.0
47,18,True,1924.054,0.0,1871.556
48,158,False,0.0,0.0,0.0
49,164,False,0.0,0.0,0.0
50,165,False,0.0,0.0,0.0
51,23,True,1807.8290000000002,0.0,1393.191
52,116,True,1924.054,0.0,1883.507
43,49,True,1807.8290000000002,0.0,1515.123
53,145,True,1849.096,0.0,1642.009
55,167,False,0.0,0.0,0.0
56,161,True,1807.8290000000002,0.0,1515.123
57,169,True,1924.054,0.0,1924.054
58,170,False,0.0,0.0,0.0
59,171,False,0.0,0.0,0.0
60,172,False,0.0,0.0,0.0
61,176,True,1924.054,0.0,1924.054
62,112,True,1849.096,0.0,1762.511
54,177,False,0.0,0.0,0.0
172,180,True,1266.236,0.0,1266.236
173,119,False,0.0,0.0,0.0
171,69,True,1793.911,0.0,1793.911
174,24,True,1774.5,0.0,1504.2710000000002
284,5,False,0.0,0.0,0.0
285,1,False,0.0,0.0,0.0
286,4,False,0.0,0.0,0.0
287,11,False,0.0,0.0,0.0
288,2,False,0.0,0.0,0.0
289,6,False,0.0,0.0,0.0
290,8,False,0.0,0.0,0.0
291,7,False,0.0,0.0,0.0
292,13,False,0.0,0.0,0.0
293,15,False,0.0,0.0,0.0
294,19,False,0.0,0.0,0.0
295,9,False,0.0,0.0,0.0
296,23,False,0.0,0.0,0.0
297,10,False,0.0,0.0,0.0
298,32,False,0.0,0.0,0.0
299,22,False,0.0,0.0,0.0
300,3,False,0.0,0.0,0.0
301,18,False,0.0,0.0,0.0
283,28,False,0.0,0.0,0.0
282,12,False,0.0,0.0,0.0
261,43,False,0.0,0.0,0.0
280,44,False,0.0,0.0,0.0
262,29,False,0.0,0.0,0.0
263,49,False,0.0,0.0,0.0
264,20,False,0.0,0.0,0.0
265,14,False,0.0,0.0,0.0
266,34,False,0.0,0.0,0.0
267,52,False,0.0,0.0,0.0
268,26,False,0.0,0.0,0.0
269,60,False,0.0,0.0,0.0
302,67,False,0.0,0.0,0.0
270,31,False,0.0,0.0,0.0
272,35,False,0.0,0.0,0.0
273,40,False,0.0,0.0,0.0
274,42,False,0.0,0.0,0.0
275,16,False,0.0,0.0,0.0
